"","classname","handicappedinfants","waterprojectcostsharing","adoptionofthebudgetresolution","physicianfeefreeze","elsalvadoraid","religiousgroupsinschools","antisatellitetestban","aidtonicaraguancontras","mxmissile","immigration","synfuelscorporationcutback","educationspending","superfundrighttosue","crime","dutyfreeexports","exportadministrationactsouthafrica"
"39","democrat","y","n","y","n","n","n","y","y","y","y","y","n","y","n","y","y"
"40","democrat","y","y","y","n","n","n","y","y","y","n","?","n","n","n","n","?"
"41","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"42","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"45","democrat","y","y","y","n","n","n","y","y","?","n","y","n","n","n","y","?"
"46","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"47","democrat","y","n","y","n","n","n","y","y","?","n","n","n","n","n","n","?"
"48","democrat","y","y","y","n","n","n","y","y","n","n","n","n","n","y","n","y"
"50","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"51","republican","n","y","n","y","y","y","n","?","n","n","n","y","y","y","n","y"
"52","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","?","?"
"53","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"54","democrat","y","y","y","n","n","y","?","y","n","n","y","y","n","y","n","?"
"58","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"59","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","?"
"61","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"62","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","?"
"63","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y"
"64","democrat","y","y","y","n","n","n","y","y","y","n","y","?","n","n","n","y"
"67","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"68","democrat","y","?","y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"69","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"70","democrat","y","n","y","n","n","n","y","y","y","n","n","n","y","n","y","?"
"71","republican","y","y","y","y","n","n","y","y","y","y","y","n","n","y","n","y"
"75","democrat","n","y","y","y","y","y","n","n","n","y","y","n","y","y","n","n"
"76","democrat","n","y","y","n","y","y","n","n","n","y","y","y","y","y","n","?"
"77","democrat","n","y","y","y","y","y","n","y","y","y","y","y","y","y","n","y"
"78","democrat","y","y","y","n","y","y","n","n","n","y","y","n","y","y","n","y"
"79","republican","n","n","n","y","y","n","n","n","n","y","n","y","y","y","n","n"
"80","democrat","y","n","y","n","n","y","y","y","y","y","n","y","n","y","n","?"
"81","democrat","y","n","y","n","n","n","y","y","?","y","y","y","n","y","n","y"
"82","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"83","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"84","republican","n","?","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"88","democrat","n","y","y","n","y","y","y","n","y","y","y","n","y","y","n","y"
"89","republican","n","n","n","y","y","y","n","n","n","y","n","?","y","y","n","?"
"90","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"94","democrat","y","n","y","n","y","y","n","n","n","n","n","n","n","n","n","y"
"95","democrat","y","n","y","n","y","y","n","?","?","n","y","?","?","?","y","y"
"96","democrat","n","n","?","n","y","y","n","n","n","n","y","y","y","y","n","y"
"98","democrat","y","y","y","n","n","y","y","y","y","y","n","n","n","n","n","y"
"99","republican","n","n","n","y","y","y","n","n","n","y","?","y","y","y","n","n"
"102","democrat","y","n","y","n","y","y","y","n","?","n","y","n","y","y","y","?"
"104","democrat","?","?","?","?","n","y","y","y","y","y","?","n","y","y","n","?"
"105","democrat","y","y","y","n","n","n","n","y","y","n","y","n","n","n","y","y"
"106","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"108","democrat","y","?","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"109","democrat","y","?","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"110","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"111","republican","n","?","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"112","democrat","n","?","y","n","n","y","y","y","n","y","n","n","n","n","y","?"
"113","republican","n","?","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"114","democrat","y","?","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"116","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"117","republican","y","y","y","y","y","n","y","n","n","n","n","y","y","y","n","y"
"118","democrat","n","y","y","n","n","n","n","y","y","y","y","n","n","n","y","y"
"120","republican","n","?","?","y","y","y","n","n","n","y","n","y","y","y","?","y"
"122","republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"123","republican","y","?","n","y","y","y","n","y","n","n","n","y","y","y","n","y"
"124","democrat","n","?","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"125","republican","n","?","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"126","republican","n","?","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"127","democrat","n","?","y","n","n","n","y","y","y","y","y","n","n","y","y","y"
"128","democrat","n","?","y","n","n","y","n","y","n","y","y","n","n","n","y","y"
"130","democrat","y","?","y","n","?","?","y","y","y","n","n","n","n","n","y","?"
"131","democrat","n","n","y","n","n","y","n","y","y","y","n","n","n","y","n","y"
"132","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","?"
"133","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"134","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","?"
"135","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"137","democrat","n","?","y","n","n","y","y","y","y","y","n","n","n","y","y","y"
"141","republican","n","n","n","y","y","y","y","y","y","y","n","y","y","y","?","y"
"142","republican","n","n","n","y","y","y","y","y","y","y","n","y","y","y","n","y"
"143","democrat","?","y","n","n","n","n","y","y","y","y","y","n","n","y","y","y"
"144","democrat","n","?","n","n","n","y","y","y","y","y","n","n","n","y","n","?"
"145","democrat","n","n","y","n","n","y","y","y","y","y","n","n","n","y","?","y"
"146","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"147","democrat","n","n","n","n","n","n","y","y","y","y","n","y","y","y","y","y"
"148","republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","y"
"149","democrat","n","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
"150","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"151","democrat","y","y","?","y","y","y","n","n","y","n","y","?","y","y","n","n"
"152","democrat","n","y","y","n","n","y","n","y","y","y","y","n","y","n","y","y"
"153","democrat","n","n","y","n","n","y","y","y","y","y","y","n","y","y","n","y"
"154","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"155","republican","y","y","n","y","y","y","n","?","n","n","y","y","y","y","n","n"
"156","republican","y","y","n","y","y","y","y","n","n","n","n","y","y","y","n","n"
"157","democrat","n","y","y","n","n","y","n","y","y","n","y","n","?","?","?","?"
"158","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"160","democrat","n","y","n","n","y","y","n","n","n","n","n","y","y","y","y","y"
"161","democrat","n","n","n","n","y","y","y","n","n","n","n","y","y","y","n","y"
"162","democrat","n","y","y","n","y","y","y","n","n","n","y","y","y","y","n","y"
"163","republican","n","y","n","y","y","y","y","n","n","n","n","y","y","y","n","y"
"164","democrat","y","y","n","n","y","y","n","n","n","y","y","y","y","y","n","?"
"165","democrat","n","y","y","n","n","y","y","y","y","y","y","n","y","n","y","?"
"166","republican","y","n","y","y","y","y","y","y","n","y","n","y","n","y","y","y"
"167","republican","y","n","y","y","y","y","y","y","n","y","y","y","n","y","y","y"
"170","democrat","y","n","y","n","n","n","?","y","y","?","n","n","n","n","y","?"
"172","democrat","n","y","y","n","n","n","y","y","y","y","n","n","?","n","y","y"
"175","democrat","n","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"176","republican","n","n","y","y","n","n","y","y","y","y","n","n","n","y","y","y"
"177","democrat","n","n","y","n","n","n","y","y","y","y","y","?","n","n","y","y"
"179","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"182","democrat","y","?","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"184","democrat","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"185","democrat","y","n","y","n","n","n","y","y","y","y","n","?","n","n","y","y"
"187","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"188","republican","y","?","n","y","y","y","y","y","n","n","n","y","?","y","?","?"
"190","republican","n","?","n","y","y","y","n","n","n","n","n","y","y","y","n","?"
"191","republican","n","y","n","y","y","y","n","?","n","y","n","y","y","y","n","?"
"192","democrat","n","n","n","n","n","y","y","y","y","n","y","n","n","y","y","y"
"193","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"195","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","?"
"199","democrat","y","y","n","n","n","n","y","y","?","n","y","n","n","n","y","?"
"200","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","y","y","y"
"201","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"202","democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
"204","republican","n","n","y","y","y","y","y","n","n","n","n","y","y","y","n","y"
"208","democrat","n","n","y","n","n","n","y","y","y","n","n","?","n","n","y","y"
"209","democrat","y","y","y","n","n","n","y","y","y","y","y","n","n","n","n","y"
"210","democrat","n","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
"212","democrat","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"214","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"215","democrat","n","y","y","y","y","y","n","n","n","y","y","y","y","y","y","?"
"216","democrat","y","y","y","n","y","y","n","n","?","y","n","n","n","y","y","?"
"217","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"218","democrat","y","?","y","n","n","n","y","y","y","n","?","n","n","n","y","?"
"221","democrat","n","y","y","n","y","y","n","n","n","n","y","n","n","n","y","?"
"222","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","?"
"223","republican","n","n","n","y","y","n","n","n","n","n","n","y","y","y","n","y"
"224","republican","n","y","n","y","y","y","n","n","n","y","n","?","y","y","n","n"
"225","republican","n","?","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"226","democrat","n","n","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"227","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","?","y"
"228","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","?","n","y"
"230","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"231","republican","n","y","n","y","y","y","n","n","y","y","n","y","y","y","n","y"
"232","democrat","n","y","y","n","n","n","y","y","n","n","y","n","n","n","y","?"
"233","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"236","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"238","democrat","y","y","y","n","n","n","y","y","?","y","n","n","n","n","y","?"
"240","republican","n","n","n","y","n","y","y","?","y","n","n","y","y","y","n","y"
"244","democrat","y","n","y","n","n","n","n","y","y","y","n","n","n","n","y","y"
"245","democrat","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"246","democrat","n","n","y","n","y","n","y","y","y","n","n","n","n","y","?","y"
"247","republican","n","y","n","y","y","y","?","n","n","n","n","?","y","y","n","n"
"248","republican","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"249","democrat","y","n","y","n","n","n","y","y","?","n","y","n","n","n","y","y"
"250","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"251","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"254","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"256","republican","n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n"
"257","republican","n","n","n","y","y","n","n","n","n","n","n","y","n","y","?","y"
"258","democrat","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"259","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"260","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"261","democrat","y","n","y","n","n","?","y","y","y","n","?","?","n","?","?","?"
"262","democrat","y","n","y","n","n","n","y","y","y","y","n","n","?","n","y","y"
"263","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"264","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"265","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"266","republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"267","republican","y","n","n","n","n","n","y","y","y","y","n","n","n","y","n","y"
"268","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"269","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"270","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"272","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","?"
"277","republican","n","n","y","y","y","y","y","y","n","y","n","n","n","y","n","y"
"279","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"280","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","y","n","y"
"281","republican","y","n","y","y","y","y","y","y","n","n","n","n","n","y","n","?"
"283","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"285","democrat","n","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
"287","democrat","y","y","y","?","n","y","y","y","y","n","y","n","y","n","?","y"
"288","democrat","y","y","y","n","y","y","n","y","n","y","y","n","y","y","y","y"
"289","democrat","y","y","y","n","y","y","n","y","n","y","y","n","y","y","n","?"
"290","democrat","y","n","y","n","?","y","?","y","y","y","n","n","y","y","n","y"
"291","democrat","y","n","y","n","n","y","y","y","y","y","n","?","n","y","n","y"
"293","democrat","y","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y"
"294","democrat","n","y","y","n","n","y","y","y","n","y","y","n","y","y","n","?"
"295","republican","n","y","n","y","y","y","?","?","n","y","n","y","?","?","?","?"
"296","republican","n","n","y","y","y","y","n","n","n","y","n","y","y","y","y","y"
"298","democrat","n","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y"
"299","democrat","n","y","y","n","n","y","y","y","y","y","n","n","y","y","y","y"
"300","republican","n","n","n","y","y","n","y","y","y","y","n","y","y","y","n","y"
"301","democrat","n","n","?","n","n","y","y","y","y","n","n","n","n","n","y","y"
"302","republican","n","n","n","y","y","y","y","n","n","y","n","y","y","y","n","y"
"303","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"304","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","?"
"305","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"307","democrat","y","n","y","n","n","y","y","y","y","n","n","n","n","y","n","?"
"310","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","y","n"
"312","democrat","y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"314","republican","n","y","n","y","y","y","y","y","n","n","y","y","y","y","y","y"
"315","republican","n","y","y","y","y","y","y","?","n","n","n","n","?","?","y","?"
"316","democrat","n","n","n","n","n","y","n","y","y","n","y","y","y","y","y","n"
"317","democrat","y","n","n","n","n","n","y","y","y","y","n","n","n","n","y","y"
"323","democrat","y","y","y","n","y","y","n","y","?","y","n","n","y","y","n","?"
"324","republican","n","y","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"325","democrat","n","y","n","n","y","y","n","n","?","n","n","y","y","y","n","y"
"326","democrat","y","y","n","y","n","n","y","y","y","n","y","n","n","y","n","y"
"327","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"328","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y"
"330","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"331","democrat","y","?","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"332","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","?"
"333","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"335","republican","n","n","n","y","y","y","n","n","n","y","y","y","y","y","n","?"
"336","democrat","n","n","y","n","n","y","y","y","n","n","y","n","n","y","?","y"
"337","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"338","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y"
"340","republican","n","n","n","y","y","y","n","n","n","y","y","y","n","y","n","y"
"341","democrat","n","?","y","?","n","y","y","y","y","y","y","n","?","?","y","y"
"342","democrat","n","y","y","n","y","?","y","n","n","y","y","n","y","n","y","y"
"345","republican","n","n","n","y","y","y","y","n","n","y","n","y","n","y","y","y"
"348","democrat","y","n","y","n","n","n","y","y","y","y","n","y","n","n","y","?"
"349","republican","n","y","y","y","y","y","y","y","y","n","n","y","y","y","n","y"
"350","democrat","n","y","n","n","n","y","y","n","y","n","y","n","n","n","y","y"
"351","republican","n","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y"
"353","republican","n","n","y","y","y","y","y","n","n","y","y","y","y","y","n","y"
"355","republican","y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y"
"356","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"357","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"358","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","y","n","?"
"359","republican","n","n","n","y","y","y","n","n","n","y","?","y","y","y","n","y"
"360","democrat","y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
"361","democrat","y","n","y","n","y","y","y","n","y","y","n","n","y","y","n","?"
"362","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y"
"364","republican","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
"365","democrat","n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n"
"367","democrat","y","y","y","n","y","y","y","y","n","y","y","n","n","n","y","?"
"368","democrat","n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y"
"369","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"370","democrat","y","y","y","n","?","y","y","y","n","y","?","?","n","n","y","y"
"371","democrat","y","y","y","n","?","n","y","y","y","y","n","n","n","n","y","?"
"372","democrat","n","y","y","y","y","y","n","n","n","n","y","y","?","y","n","n"
"373","democrat","n","y","y","?","y","y","n","y","n","y","?","n","y","y","?","y"
"375","democrat","n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
"377","republican","n","y","n","y","y","y","?","?","n","n","?","?","y","?","?","?"
"380","democrat","y","y","y","n","n","y","?","y","y","n","y","n","y","n","y","y"
"381","democrat","y","y","y","n","y","y","y","y","y","y","y","n","y","y","n","?"
"382","democrat","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","?"
"384","democrat","y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
"385","democrat","y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
"386","democrat","n","?","y","n","y","y","n","y","n","n","y","n","n","n","n","?"
"387","democrat","y","y","y","n","y","y","n","y","y","n","y","n","n","y","n","?"
"389","democrat","y","n","y","n","n","n","y","y","y","?","y","n","n","n","y","?"
"390","democrat","?","?","n","n","?","y","?","n","n","n","y","y","n","y","n","?"
"392","republican","y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"393","republican","?","?","?","?","n","y","n","y","y","n","n","y","y","n","n","?"
"395","democrat","y","y","y","?","n","n","n","y","n","n","y","?","n","n","y","y"
"396","democrat","y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
"397","democrat","y","y","n","n","y","?","n","n","n","n","y","n","y","y","n","y"
"398","democrat","n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
"399","republican","n","y","n","y","?","y","n","n","n","y","n","y","y","y","n","n"
"401","republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
"402","republican","?","n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
"404","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"405","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"408","democrat","y","n","y","n","n","y","y","y","y","n","n","y","?","y","y","y"
"409","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"410","republican","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"412","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"413","republican","y","y","y","y","y","y","y","y","n","y","?","?","?","y","n","y"
"415","democrat","n","y","y","n","n","y","y","y","?","y","n","n","n","n","n","y"
"416","republican","y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
"417","democrat","y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
"418","democrat","y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
"419","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"421","democrat","n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
"423","democrat","n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"425","democrat","n","n","y","n","n","n","y","y","n","y","y","n","n","n","y","?"
"426","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"427","republican","n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
"428","democrat","?","?","?","n","n","n","y","y","y","y","n","n","y","n","y","y"
"430","republican","n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
"431","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"432","republican","n","?","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"433","republican","n","n","n","y","y","y","?","?","?","?","n","y","y","y","n","y"
